axis,level,metric,mean,std,count
ct_saturation,0.3,macro_f1,0.6014351878722863,0.002116999682471269,25
ct_saturation,0.3,macro_f1_fault_only,0.7445054746971057,0.0030572144076537666,25
ct_saturation,0.5,macro_f1,0.6185069226576281,0.0026201229003518286,25
ct_saturation,0.5,macro_f1_fault_only,0.7671237982351379,0.0037850822336867635,25
ct_saturation,0.7,macro_f1,0.6576955008758861,0.0021406951361457633,25
ct_saturation,0.7,macro_f1_fault_only,0.8020578589241895,0.003061503267666752,25
ct_saturation,no_sat,macro_f1,0.6842828072463703,0.0015226448552153142,5
ct_saturation,no_sat,macro_f1_fault_only,0.8378956166564674,0.0028376764798190056,5
jitter,0,macro_f1,0.6842828072463703,0.0015226448552153142,5
jitter,0,macro_f1_fault_only,0.8378956166564674,0.0028376764798190056,5
jitter,1,macro_f1,0.6842866319257398,0.001325762762917557,25
jitter,1,macro_f1_fault_only,0.8378816500928,0.0024450407593198677,25
jitter,2,macro_f1,0.6836344295162643,0.001724707090168189,25
jitter,2,macro_f1_fault_only,0.8371178968219314,0.003137088406050298,25
jitter,4,macro_f1,0.6833395599630925,0.0021450782899972995,25
jitter,4,macro_f1_fault_only,0.8366948835532448,0.002849472590585341,25
noise,10,macro_f1,0.5500170251064695,0.0025895624502995742,25
noise,10,macro_f1_fault_only,0.6466404884638515,0.003051085282114016,25
noise,20,macro_f1,0.6782023665107313,0.0014890315158426603,25
noise,20,macro_f1_fault_only,0.8299305753742103,0.002732300887264394,25
noise,30,macro_f1,0.6841213536521462,0.0014609207894351701,25
noise,30,macro_f1_fault_only,0.8377825256133272,0.002624921184495071,25
noise,40,macro_f1,0.6843013901893855,0.0013651751520809307,25
noise,40,macro_f1_fault_only,0.8379283541363697,0.0025672075227398533,25
noise,clean,macro_f1,0.6842828072463703,0.0015226448552153142,5
noise,clean,macro_f1_fault_only,0.8378956166564674,0.0028376764798190056,5
