axis,level,metric,mean,std,count
ct_saturation,0.3,mae,20.56277131764026,0.3718645356439574,25
ct_saturation,0.5,mae,17.438001125341252,0.350965458124573,25
ct_saturation,0.7,mae,15.543055495017986,0.27482630122665863,25
ct_saturation,no_sat,mae,14.7819803300246,0.2821678281223405,5
jitter,0,mae,14.7819803300246,0.2821678281223405,5
jitter,1,mae,14.919485470514728,0.28196395399042595,25
jitter,2,mae,15.045340401689955,0.25969988754160356,25
jitter,4,mae,15.278003435604182,0.3094084880715053,25
noise,10,mae,15.754874933579492,0.21732150099284298,25
noise,20,mae,14.914810457090834,0.24026916711890445,25
noise,30,mae,14.811612696976528,0.2580418036228861,25
noise,40,mae,14.791414771049544,0.2529445924282921,25
noise,clean,mae,14.7819803300246,0.2821678281223405,5
