[stride_fc_mlp_W20_S10] macroF1 mean=0.9827 std=0.0126 per_fold=[0.9902, 0.9892, 0.9917, 0.9844, 0.9579] overrides=['training.target_label=event_type', 'model.model_name=mlp_classifier', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.010'] (1210s)
[stride_fc_mlp_W10_S5] macroF1 mean=0.9854 std=0.0112 per_fold=[0.9948, 0.9941, 0.9785, 0.9933, 0.9665] overrides=['training.target_label=event_type', 'model.model_name=mlp_classifier', 'window_extraction.window_length=0.010', 'window_extraction.step_length_seconds=0.005'] (1411s)
[stride_fc_mlp_W20_S20] macroF1 mean=0.9811 std=0.0129 per_fold=[0.9846, 0.9947, 0.9665, 0.9943, 0.9654] overrides=['training.target_label=event_type', 'model.model_name=mlp_classifier', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.020'] (394s)
[stride_fc_mlp_W10_S10] macroF1 mean=0.9883 std=0.0068 per_fold=[0.9959, 0.9935, 0.979, 0.9812, 0.9918] overrides=['training.target_label=event_type', 'model.model_name=mlp_classifier', 'window_extraction.window_length=0.010', 'window_extraction.step_length_seconds=0.010'] (2495s)
[stride_fc_mlp_W20_S5] macroF1 mean=0.9897 std=0.0019 per_fold=[0.9884, 0.9913, 0.9886, 0.9877, 0.9925] overrides=['training.target_label=event_type', 'model.model_name=mlp_classifier', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.005'] (3136s)
[stride_fc_mlp_W50_S50] macroF1 mean=0.9873 std=0.0031 per_fold=[0.9894, 0.9886, 0.9863, 0.9904, 0.9818] overrides=['training.target_label=event_type', 'model.model_name=mlp_classifier', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.050'] (333s)
[stride_fc_gb_W10_S5] macroF1 mean=0.4180 std=0.0090 per_fold=[0.4233, 0.4037, 0.4171, 0.4306, 0.4152] overrides=['training.target_label=event_type', 'model.model_name=hist_gradient_boosting_classifier', 'window_extraction.window_length=0.010', 'window_extraction.step_length_seconds=0.005'] (295s)
[stride_fc_gb_W10_S10] macroF1 mean=0.5177 std=0.0149 per_fold=[0.5189, 0.5262, 0.5118, 0.538, 0.4935] overrides=['training.target_label=event_type', 'model.model_name=hist_gradient_boosting_classifier', 'window_extraction.window_length=0.010', 'window_extraction.step_length_seconds=0.010'] (191s)
[stride_fc_gb_W20_S5] macroF1 mean=0.7447 std=0.0171 per_fold=[0.7763, 0.7464, 0.7387, 0.7364, 0.7256] overrides=['training.target_label=event_type', 'model.model_name=hist_gradient_boosting_classifier', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.005'] (780s)
[stride_fc_mlp_W50_S10] macroF1 mean=0.9859 std=0.0070 per_fold=[0.9923, 0.9932, 0.9882, 0.9751, 0.9808] overrides=['training.target_label=event_type', 'model.model_name=mlp_classifier', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.010'] (3442s)
[stride_fc_mlp_W50_S20] macroF1 mean=0.9877 std=0.0037 per_fold=[0.9901, 0.9916, 0.9821, 0.9902, 0.9844] overrides=['training.target_label=event_type', 'model.model_name=mlp_classifier', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.020'] (2858s)
[stride_fc_gb_W20_S20] macroF1 mean=0.9696 std=0.0040 per_fold=[0.9757, 0.9636, 0.9689, 0.9715, 0.9685] overrides=['training.target_label=event_type', 'model.model_name=hist_gradient_boosting_classifier', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.020'] (1514s)
[stride_fc_gb_W20_S10] macroF1 mean=0.9659 std=0.0022 per_fold=[0.9657, 0.9638, 0.9633, 0.9688, 0.9678] overrides=['training.target_label=event_type', 'model.model_name=hist_gradient_boosting_classifier', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.010'] (2362s)
[stride_fc_mlp_W50_S5] macroF1 mean=0.9901 std=0.0052 per_fold=[0.9923, 0.9923, 0.9796, 0.9935, 0.9927] overrides=['training.target_label=event_type', 'model.model_name=mlp_classifier', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.005'] (6578s)
[stride_fc_gb_W50_S50] macroF1 mean=0.9858 std=0.0023 per_fold=[0.9894, 0.9848, 0.9825, 0.9866, 0.9857] overrides=['training.target_label=event_type', 'model.model_name=hist_gradient_boosting_classifier', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.050'] (2837s)
[stride_fc_gb_W50_S20] macroF1 mean=0.9784 std=0.0018 per_fold=[0.9785, 0.9768, 0.9762, 0.9793, 0.9812] overrides=['training.target_label=event_type', 'model.model_name=hist_gradient_boosting_classifier', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.020'] (3987s)
[stride_fl_mlp_W10_S5] MAE mean=10.6441 std=0.3638 per_fold=[10.354, 10.4081, 11.3498, 10.4916, 10.6169] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.010', 'window_extraction.step_length_seconds=0.005'] (408s)
[stride_fl_mlp_W10_S10] MAE mean=10.6441 std=0.3638 per_fold=[10.354, 10.4081, 11.3498, 10.4916, 10.6169] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.010', 'window_extraction.step_length_seconds=0.010'] (417s)
[stride_fl_mlp_W20_S10] MAE mean=11.1324 std=0.8679 per_fold=[10.3958, 11.0941, 12.7739, 10.4233, 10.9749] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.010'] (833s)
[stride_fl_mlp_W20_S5] MAE mean=9.9979 std=0.1172 per_fold=[10.0599, 10.0163, 9.901, 10.1719, 9.8402] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.005'] (1766s)
[stride_fl_mlp_W20_S20] MAE mean=10.3280 std=0.1373 per_fold=[10.23, 10.5744, 10.1805, 10.3607, 10.2943] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.020'] (692s)
[stride_fc_gb_W50_S10] macroF1 mean=0.9772 std=0.0012 per_fold=[0.9762, 0.9754, 0.9772, 0.9787, 0.9784] overrides=['training.target_label=event_type', 'model.model_name=hist_gradient_boosting_classifier', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.010'] (9019s)
[stride_fl_mlp_W50_S20] MAE mean=11.1613 std=0.5523 per_fold=[11.0304, 10.8785, 10.5645, 12.1964, 11.1365] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.020'] (3361s)
[stride_fl_mlp_W50_S10] MAE mean=11.0195 std=0.2204 per_fold=[11.1828, 10.8208, 10.897, 10.8251, 11.3717] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.010'] (5705s)
[stride_fl_gb_W10_S5] MAE mean=14.6461 std=0.1855 per_fold=[14.5627, 14.6355, 14.4727, 15.0025, 14.557] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.010', 'window_extraction.step_length_seconds=0.005'] (68s)
[stride_fl_gb_W10_S10] MAE mean=14.6461 std=0.1855 per_fold=[14.5627, 14.6355, 14.4727, 15.0025, 14.557] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.010', 'window_extraction.step_length_seconds=0.010'] (67s)
